player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Trent Boult,bowler,104,103,,,,121,26.69,8.29,19.3
James Pattinson,bowler,10,10,,,,11,29.09,9.01,19.3
Jasprit Bumrah,bowler,133,133,,,,165,22.51,7.30,18.5
Krunal Pandya,bowler,127,117,,,,76,34.28,7.36,27.9
Rahul Chahar,bowler,78,77,,,,75,28.54,7.72,22.1
